,ID,AGE GROUP,CHANNEL OF SALE,SALES
1,333017895,26-35,internet,0
2,797636750,18-25,internet,1
3,451655211,26-35,internet,1
4,866034553,26-35,internet,0
5,263467156,26-35,internet,0
6,266664669,26-35,phone,0
7,395378044,46-55,internet,1
8,698491484,36-45,phone,0
9,954580743,46-55,phone,1
10,264924969,36-45,phone,1
11,462066626,46-55,phone,1
12,194951065,36-45,phone,1
13,458488416,56+,phone,1
14,458731247,36-45,phone,1
15,203441271,36-45,internet,0
16,457062963,26-35,internet,0
17,281051866,36-45,phone,0
18,241855210,36-45,phone,1
19,819304465,36-45,phone,1
20,191461643,26-35,internet,1
21,950891345,26-35,internet,0
22,605093854,46-55,phone,1
23,556410448,36-45,phone,1
24,620601498,36-45,phone,1
25,673494021,26-35,internet,1
26,890309506,36-45,phone,0
27,761573752,46-55,phone,1
28,470468203,56+,phone,1
29,820529370,26-35,internet,1
30,660582634,36-45,phone,1
31,197902164,46-55,phone,1
32,123632197,46-55,internet,0
33,464099258,26-35,internet,0
34,667145930,36-45,internet,1
35,816169165,26-35,internet,1
36,380719225,26-35,internet,1
37,370478415,26-35,internet,1
38,903471455,36-45,internet,1
39,604671364,46-55,internet,0
40,164073287,26-35,internet,1
41,503254085,36-45,internet,1
42,435450458,26-35,internet,1
43,161439670,56+,internet,1
44,710719845,36-45,internet,0
45,138930881,56+,phone,1
46,268093461,26-35,internet,1
47,674848384,36-45,phone,0
48,705089654,36-45,internet,0
49,106421733,26-35,internet,0
50,895648081,56+,phone,1
51,892060676,26-35,internet,0
52,949053540,36-45,internet,0
53,733342314,18-25,internet,1
54,948044652,26-35,phone,0
55,340251947,18-25,internet,1
56,791525673,26-35,internet,0
57,767837963,36-45,internet,1
58,309089939,26-35,internet,1
59,480359635,46-55,phone,0
60,387602975,36-45,internet,1
61,633194829,26-35,internet,0
62,906015738,26-35,internet,1
63,195547652,26-35,internet,0
64,783346909,36-45,phone,0
65,996804056,56+,phone,1
66,788984080,56+,phone,1
67,441714338,26-35,internet,1
68,328176568,26-35,phone,0
69,777259234,56+,phone,1
70,994607133,56+,phone,0
71,274441475,36-45,phone,1
72,668891941,36-45,phone,0
73,388626089,36-45,phone,1
74,161545851,36-45,phone,0
75,801336343,56+,phone,1
76,592951139,26-35,internet,1
77,625478108,36-45,internet,1
78,511972833,26-35,phone,0
79,609481017,36-45,internet,0
80,190850253,46-55,phone,1
81,728204094,26-35,internet,1
82,467402771,56+,phone,0
83,887547594,26-35,internet,0
84,786753982,26-35,internet,1
85,517359126,26-35,phone,0
86,827797907,56+,phone,1
87,604471435,36-45,phone,1
88,943121583,46-55,phone,0
89,262166875,46-55,phone,1
90,860577157,36-45,phone,1
91,310899344,26-35,phone,1
92,532730779,46-55,internet,1
93,464519011,36-45,phone,0
94,280830521,36-45,phone,1
95,970188770,26-35,internet,0
96,561277948,36-45,phone,1
97,724429494,56+,phone,0
98,195347492,18-25,internet,0
99,256424634,46-55,phone,1
100,940907958,36-45,phone,1
101,517312979,36-45,internet,1
102,504422121,26-35,internet,0
103,598592375,56+,internet,1
104,537238026,26-35,phone,1
105,187428505,36-45,phone,1
106,868344159,26-35,internet,0
107,197875570,56+,phone,1
108,679465079,56+,phone,0
109,893210275,36-45,phone,1
110,262375307,36-45,phone,1
111,835681981,36-45,phone,0
112,607501786,26-35,phone,1
113,593490934,36-45,phone,1
114,297935965,18-25,internet,1
115,198625127,36-45,internet,0
116,890650110,18-25,internet,1
117,651389209,18-25,internet,0
118,721461785,46-55,phone,0
119,805996609,26-35,phone,1
120,834660361,26-35,internet,0
121,101632400,46-55,phone,1
122,776999641,26-35,internet,1
123,852550655,36-45,phone,0
124,149701517,26-35,internet,0
125,222089437,26-35,internet,1
126,640369706,46-55,internet,0
127,754432005,36-45,phone,0
128,936822220,26-35,phone,0
129,376153837,56+,phone,1
130,583745564,26-35,internet,0
131,795395621,36-45,phone,1
132,529823807,26-35,internet,0
133,896906828,36-45,phone,0
134,940134384,36-45,phone,1
135,259286904,56+,phone,1
136,305885704,36-45,internet,1
137,385098296,56+,phone,0
138,263529804,36-45,phone,0
139,945710960,56+,internet,0
140,684423975,26-35,internet,1
141,665884549,26-35,internet,0
142,889178737,18-25,phone,0
143,894288054,46-55,phone,1
144,304997504,46-55,phone,0
145,660146229,56+,internet,1
146,304706094,36-45,internet,1
147,863329512,36-45,phone,1
148,117213871,46-55,internet,1
149,336967879,56+,phone,1
150,660461498,46-55,phone,1
151,480309486,26-35,phone,1
152,472499141,26-35,internet,1
153,812886646,36-45,internet,0
154,698310348,26-35,internet,1
155,159367939,36-45,phone,1
156,332709979,26-35,phone,0
157,402027409,26-35,internet,0
158,123777882,18-25,internet,1
159,202997141,26-35,internet,1
160,206133227,36-45,phone,1
161,313776327,36-45,internet,1
162,848616041,56+,phone,1
163,509927257,18-25,phone,1
164,732384967,36-45,phone,1
165,552338428,26-35,internet,1
166,869417689,26-35,internet,1
167,764689402,56+,phone,0
168,852410442,46-55,internet,0
169,550551826,26-35,internet,1
170,982491677,36-45,phone,1
171,984061835,26-35,internet,0
172,306427894,56+,phone,1
173,136717846,18-25,internet,1
174,209231875,46-55,phone,1
175,489097006,56+,phone,0
176,798831290,26-35,internet,1
177,320044338,26-35,internet,1
178,896990144,36-45,phone,0
179,230238191,26-35,internet,0
180,780929095,36-45,phone,1
181,857841862,36-45,phone,0
182,762908536,56+,phone,1
183,571502301,56+,phone,1
184,284132728,26-35,internet,0
185,349455284,26-35,internet,0
186,230229535,18-25,internet,0
187,531761028,36-45,phone,1
188,579271261,26-35,internet,0
189,214254456,46-55,phone,1
190,266085925,26-35,phone,0
191,839859275,18-25,internet,1
192,513390010,26-35,internet,1
193,380232200,26-35,internet,0
194,385752633,56+,internet,1
195,971785012,26-35,internet,1
196,486808908,36-45,phone,0
197,807981461,36-45,phone,1
198,908451091,26-35,phone,0
199,850546204,26-35,internet,0
200,805294118,36-45,phone,1
201,837221994,56+,phone,1
202,724344131,18-25,internet,1
203,264149287,26-35,internet,0
204,323323987,26-35,internet,0
205,711087182,26-35,internet,0
206,407338907,56+,phone,0
207,933772791,36-45,internet,1
208,152893711,46-55,phone,0
209,978127292,26-35,internet,1
210,886030307,26-35,internet,0
211,783582772,26-35,internet,1
212,986691949,36-45,phone,0
213,181202272,36-45,internet,1
214,716905986,26-35,internet,1
215,942800190,56+,phone,1
216,756077643,36-45,phone,1
217,275021692,36-45,phone,0
218,880135805,26-35,internet,0
219,909422634,36-45,internet,0
220,303732978,18-25,phone,1
221,946810710,56+,phone,1
222,664314498,36-45,internet,1
223,797204293,36-45,phone,0
224,654427829,46-55,phone,0
225,543510018,46-55,phone,0
226,406103971,26-35,internet,0
227,316184363,18-25,internet,1
228,473687730,56+,phone,0
229,336920434,26-35,internet,1
230,283120926,26-35,internet,1
231,569891892,18-25,phone,1
232,675130869,18-25,internet,0
233,174798085,26-35,internet,0
234,307334918,56+,internet,1
235,631640511,36-45,phone,1
236,589902045,46-55,phone,0
237,441901771,46-55,internet,1
238,416817803,26-35,phone,1
239,962336051,26-35,internet,1
240,202102263,56+,phone,0
241,631213967,36-45,phone,0
242,986834896,46-55,internet,1
243,603754256,46-55,phone,1
244,127145436,26-35,internet,0
245,805447995,46-55,phone,1
246,199380528,26-35,internet,1
247,127765023,36-45,phone,0
248,860645826,26-35,internet,1
249,905662910,18-25,phone,0
250,661299309,18-25,internet,0
251,772112561,36-45,phone,0
252,238756603,46-55,phone,1
253,352988730,18-25,internet,1
254,136340578,18-25,internet,0
255,774594812,46-55,phone,1
256,358672788,46-55,phone,0
257,294082710,46-55,internet,1
258,926710964,18-25,internet,0
259,736764707,26-35,internet,1
260,565766855,26-35,internet,0
261,202720723,56+,internet,1
262,213268733,36-45,phone,0
263,815721400,26-35,internet,1
264,704926035,36-45,phone,0
265,193194578,18-25,internet,1
266,202174892,18-25,internet,0
267,862805829,36-45,phone,0
268,878371286,36-45,phone,0
269,707341438,26-35,internet,0
